1,102,2.4
1,101,2.3
1,105,4.2
1,110,3.6
1,107,3.8
2,101,3.5
2,110,2.1
2,102,2.6
2,108,3.9
2,107,3.6
3,104,4.3
3,108,2.5
3,105,3.3
3,107,2.8
3,101,2.6
4,106,3.1
4,102,3.0
4,109,2.8
4,104,2.1
4,101,3.4
5,102,4.5
5,107,3.9
5,110,4.6
5,105,3.7
5,103,4.1
6,101,4.6
6,104,3.1
6,105,3.4
6,110,4.5
6,102,2.5
7,106,3.9
7,104,3.8
7,105,2.5
7,110,4.2
7,107,2.5
8,107,4.5
8,105,4.3
8,104,2.7
8,106,2.1
8,103,2.9
9,105,2.9
9,102,4.0
9,104,3.2
9,110,4.7
9,106,3.4
10,105,3.6
10,103,4.2
10,104,3.3
10,106,3.8
10,110,3.1
1,106,3.3
2,105,4.0
2,106,4.5
3,106,3.3
4,105,3.3
5,106,3.8
6,107,4.2
6,108,3.9
7,108,4.1
8,108,4.4
9,107,3.2
9,108,4.8
10,107,4.5
10,108,4.5
